delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff
1457973,327168,162381,van,Melt Shop,American,Lemonade,1,Beverages,19:58.6,40.74460714,-73.99074197,40.75207259,-73.98536955,51:59.9,,,52:06.3
1377056,64452,104533,bicycle,Prince Street Pizza,Pizza,Neapolitan Rice Balls,3,Munchables,25:09.1,40.72307952,-73.99461508,40.719722,-73.991858,58:58.7,26:02.1,48:23.1,59:22.9
1476547,83095,132725,bicycle,Bareburger,Burger,Bare Sodas,1,Drinks,06:44.5,40.72847826,-73.99839184,40.728606,-73.995143,39:52.7,37:18.8,59:10.0,04:40.6
1485494,271149,157175,bicycle,Juice Press,Juice Bar,OMG! My Favorite Juice!,1,Cold Pressed Juices,,40.73886755,-74.00274745,40.75125729,-74.00563376,54:11.5,04:17.8,16:37.9,32:38.1
1327707,122609,118095,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,2,Maki (Special Rolls),03:45.0,40.72610966,-74.00249186,40.7093232,-74.0158665,07:18.5,14:42.7,25:19.4,48:27.2
1423142,75169,91932,bicycle,Tamarind TriBeCa,Indian,Dum Aloo Gobi,1,Vegetarian Specialties,07:14.3,40.71926893,-74.00874988,40.7256784,-74.0006176,56:36.3,18:50.0,27:10.6,36:53.8
1334106,101347,124897,bicycle,The Loop,Sushi,Spicy Tuna Roll,1,Classic Roll & Hand Roll,04:49.4,40.73485818,-73.98609344,40.7383678,-74.0001054,08:55.5,07:16.0,29:24.5,40:01.7
1311619,59161,79847,bicycle,Insomnia Cookies,Bakery,Chocolate Chunk,2,Cookies and Brownies,,40.7297909,-74.0005893,40.7347026,-73.9982061,20:09.3,17:35.7,03:24.4,09:16.6
1487674,55375,181543,bicycle,Cafe Zaiya,,,,,,40.729357,-73.990156,40.719758,-73.985011,49:48.3,55:32.4,01:22.2,10:44.7
1417206,153816,157415,car,Shake Shack,Burger,Shackburger,1,Burgers,,40.75845677,-73.98914047,40.743613,-73.977684,18:37.9,20:14.4,47:03.6,59:26.1
1332793,104167,83565,bicycle,El Toro Blanco,Mexican,,,,07:00.1,40.72899672,-74.00280958,40.7460604,-73.9946738,08:02.3,40:04.3,44:39.9,54:14.6
