,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing
4,1327707,122609,118095,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,2,Maki (Special Rolls),03:45.0,40.72610966,-74.00249186,40.7093232,-74.0158665,07:18.5,14:42.7,25:19.4,48:27.2,2.179897838,30:32.0
26,1459871,391543,7833,bicycle,Friedman's Lunch,Breakfast,Sweet Potato Fries,1,Market Sides,09:19.6,40.74268064,-74.00623583,40.74012562,-74.00468661,14:29.8,30:04.3,41:53.9,00:47:32,0.312451927,21:12.6
27,1419674,81591,96818,bicycle,The Grey Dog - University,Coffee,Three Eggs Any Style,1,Breakfast,07:40.6,40.73378729,-73.99303526,40.74427388,-73.98045875,00:05:55,18:07.1,34:28.2,50:48.9,1.576253452,28:32.8
29,1282272,97991,72941,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Unagi,1,Taiseyo (Atlantic Ocean),10:21.7,40.76765291,-73.98292546,40.74882755,-73.99013895,00:02:41,11:48.2,28:00.7,45:08.7,2.177474018,26:15.2
32,1467996,301380,142394,bicycle,ilili Restaurant,Middle Eastern,Hommus,1,Dips,05:17.0,40.74418795,-73.98753094,40.734994,-73.987709,18:37.4,30:46.4,46:07.1,57:18.1,1.0210886,23:20.0
35,1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Lentils ���Toscana�۝,1,Vegetables,22:42.9,40.73206376,-73.99615467,40.76758179,-73.98370418,40:38.8,00:49:50,27:58.5,55:56.8,4.081992593,37:09.5
46,1379189,47440,112646,bicycle,Bareburger,Burger,Barest Burger,1,Bareburgers,06:25.1,40.72847826,-73.99839184,40.7151704,-74.0116009,54:08.3,57:53.9,08:40.4,23:14.7,1.851868362,18:19.9
50,1322133,49104,156557,car,Empanada Mama (closed),Mexican,Reggaeton,1,Wheat Flour,05:35.0,40.764217,-73.988321,40.74789673,-74.00360827,10:10.3,21:06.7,33:26.1,42:17.5,2.225110587,19:47.8
57,1401304,68116,67103,truck,Blue Ribbon Sushi Izakaya,Japanese,Rock Shrimp & Crispy Garlic Teriyaki,1,Kushi Yaki (Skewers),08:13.9,40.72197958,-73.98814821,40.72999941,-73.9936877,30:30.5,47:48.3,01:10.3,22:12.8,1.00606548,38:20.3
67,1325129,41991,108647,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Tamago,1,Taiheiyo (Pacific Ocean),12:20.8,40.76765291,-73.98292546,40.763269,-73.963113,01:43.8,23:34.1,38:53.5,49:00.3,1.742219895,31:57.1
68,1439884,103822,134198,bicycle,Luke's Lobster,Seafood,Lobster Roll,1,Rolls,06:01.5,40.726823,-73.98547098,40.7460604,-73.9946738,08:47.2,18:21.9,26:12.5,44:21.9,2.273328181,27:44.1
75,1420966,122609,28765,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,1,Maki (Special Rolls),10:16.1,40.72610966,-74.00249186,40.7093232,-74.0158665,03:34.4,10:10.4,22:32.6,37:03.4,2.179897838,21:06.8
76,1286764,141596,139444,bicycle,Peacefood Cafe,Vegan,Pan-seared French Horn Mushrooms,1,Panini,15:44.1,40.78516004,-73.97691647,40.800023,-73.971317,06:43.6,10:21.1,42:37.2,54:57.8,1.716854023,15:58.1
81,1375520,81605,91735,bicycle,Veselka,Russian,Soft Drink,1,Beverages,05:28.1,40.72913623,-73.98697151,40.7363529,-73.9843794,00:45:18,52:59.6,00:57.2,11:10.1,0.830777706,17:54.5
82,1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Prosciutto Arugula,1,Pizzas,22:42.9,40.73206376,-73.99615467,40.76758179,-73.98370418,40:38.8,00:49:50,27:58.5,55:56.8,4.081992593,37:09.5
