,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
4,1327707,122609,118095,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,2.0,Maki (Special Rolls),03:45.0,40.72610966,-74.00249186,40.7093232,-74.0158665,00:07:18.500000,00:14:42.700000,00:25:19.400000,00:48:27.200000,2.1798978379540044
26,1459871,391543,7833,bicycle,Friedman's Lunch,Breakfast,Sweet Potato Fries,1.0,Market Sides,09:19.6,40.74268064,-74.00623583,40.74012562,-74.00468661,00:14:29.800000,00:30:04.300000,00:41:53.900000,00:47:32,0.31245192695716106
27,1419674,81591,96818,bicycle,The Grey Dog - University,Coffee,Three Eggs Any Style,1.0,Breakfast,07:40.6,40.73378729,-73.99303526,40.74427388,-73.98045875,00:05:55,00:18:07.100000,00:34:28.200000,00:50:48.900000,1.5762534520350926
29,1282272,97991,72941,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Unagi,1.0,Taiseyo (Atlantic Ocean),10:21.7,40.76765291,-73.98292546,40.74882755,-73.99013895,00:02:41,00:11:48.200000,00:28:00.700000,00:45:08.700000,2.177474018310391
32,1467996,301380,142394,bicycle,ilili Restaurant,Middle Eastern,Hommus,1.0,Dips,05:17.0,40.74418795,-73.98753094,40.734994,-73.987709,00:18:37.400000,00:30:46.400000,00:46:07.100000,00:57:18.100000,1.0210885997007604
35,1314550,348787,119813,bicycle,Otto Enoteca Pizzeria,Italian,Lentils ���Toscana�۝,1.0,Vegetables,22:42.9,40.73206376,-73.99615467,40.76758179,-73.98370418,00:40:38.800000,00:49:50,00:27:58.500000,00:55:56.800000,4.081992593007481
46,1379189,47440,112646,bicycle,Bareburger,Burger,Barest Burger,1.0,Bareburgers,06:25.1,40.72847826,-73.99839184,40.7151704,-74.0116009,00:54:08.300000,00:57:53.900000,00:08:40.400000,00:23:14.700000,1.8518683616298337
50,1322133,49104,156557,car,Empanada Mama (closed),Mexican,Reggaeton,1.0,Wheat Flour,05:35.0,40.764217,-73.988321,40.74789673,-74.00360827,00:10:10.300000,00:21:06.700000,00:33:26.100000,00:42:17.500000,2.225110586598984
57,1401304,68116,67103,truck,Blue Ribbon Sushi Izakaya,Japanese,Rock Shrimp & Crispy Garlic Teriyaki,1.0,Kushi Yaki (Skewers),08:13.9,40.72197958,-73.98814821,40.72999941,-73.9936877,00:30:30.500000,00:47:48.300000,00:01:10.300000,00:22:12.800000,1.0060654798281425
67,1325129,41991,108647,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Tamago,1.0,Taiheiyo (Pacific Ocean),12:20.8,40.76765291,-73.98292546,40.763269,-73.963113,00:01:43.800000,00:23:34.100000,00:38:53.500000,00:49:00.300000,1.7422198946573828
